neg,neu,pos,compound,sentiment
0.444,0.556,0,-0.802,negative
0,0.93,0.07,0.2023,positive
0.2,0.8,0,-0.7574,negative
0,1,0,0,neutral
0.211,0.67,0.119,-0.4215,negative
0.121,0.791,0.088,-0.1779,negative
0,0.82,0.18,0.5267,positive
0.113,0.887,0,-0.4201,negative
0,1,0,0,neutral
0,0.784,0.216,0.5267,positive
0,0.803,0.197,0.8519,positive
0,1,0,0,neutral
0.139,0.861,0,-0.5255,negative
0.055,0.945,0,-0.296,negative
0,0.819,0.181,0.6486,positive
0,0.714,0.286,0.5859,positive
0,0.825,0.175,0.5256,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.079,0.854,0.067,-0.1027,negative
0.104,0.896,0,-0.296,negative
0,1,0,0,neutral
0.167,0.833,0,-0.3818,negative
0,1,0,0,neutral
0,0.867,0.133,0.3182,positive
0.309,0.626,0.065,-0.7801,negative
0,1,0,0,neutral
0.211,0.789,0,-0.6808,negative
0.164,0.836,0,-0.6908,negative
0.136,0.682,0.182,0.34,positive
0.288,0.619,0.093,-0.6597,negative
0,0.913,0.087,0.25,positive
0.093,0.771,0.136,0.1531,positive
0,0.812,0.188,0.7003,positive
0.167,0.833,0,-0.4588,negative
0,0.842,0.158,0.4939,positive
0.274,0.726,0,-0.7506,negative
0,1,0,0,neutral
0.321,0.679,0,-0.6369,negative
0.28,0.72,0,-0.5423,negative
0,1,0,0,neutral
0,0.787,0.213,0.4019,positive
0.163,0.68,0.156,-0.0258,neutral
0.171,0.829,0,-0.5472,negative
0,0.73,0.27,0.5719,positive
0.062,0.938,0,-0.1027,negative
0.216,0.653,0.131,-0.4019,negative
0.135,0.865,0,-0.3612,negative
0,1,0,0,neutral
0.087,0.913,0,-0.25,negative
0.141,0.577,0.281,0.2933,positive
0.15,0.85,0,-0.5574,negative
0,0.895,0.105,0.25,positive
0,1,0,0,neutral
0,0.872,0.128,0.3612,positive
0,1,0,0,neutral
0.182,0.818,0,-0.4404,negative
0,0.787,0.213,0.5574,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.66,0.34,0.7713,positive
0,0.829,0.171,0.4052,positive
0.149,0.704,0.147,-0.0083,neutral
0.194,0.806,0,-0.5574,negative
0.188,0.812,0,-0.6249,negative
0.462,0.538,0,-0.8625,negative
0.2,0.8,0,-0.3612,negative
0.078,0.922,0,-0.296,negative
